antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset(['sletias']),frozenset(['brandy']),0.05596894208993853,0.04820446457457134,0.005823358136525397,0.10404624277456649,2.158435814873725,0.00312540525027472,1.06232662986193
frozenset(['brandy']),frozenset(['sletias']),0.04820446457457134,0.05596894208993853,0.005823358136525397,0.12080536912751678,2.158435814873725,0.00312540525027472,1.0737452490732762
frozenset(['iron']),frozenset(['carpets']),0.13749595600129408,0.019411193788417987,0.008087997411840828,0.058823529411764705,3.030392156862745,0.005419036764775916,1.041875606599806
frozenset(['carpets']),frozenset(['iron']),0.019411193788417987,0.13749595600129408,0.008087997411840828,0.4166666666666667,3.0303921568627454,0.005419036764775916,1.478578361140639
frozenset(['brawls']),frozenset(['iron']),0.03008735037204788,0.13749595600129408,0.008411517308314461,0.27956989247311825,2.0332953826691966,0.004274628305363847,1.19720710584895
frozenset(['iron']),frozenset(['brawls']),0.13749595600129408,0.03008735037204788,0.008411517308314461,0.06117647058823529,2.0332953826691966,0.004274628305363847,1.0331149776738837
"frozenset(['sletias', 'tapseils'])",frozenset(['iron']),0.012617275962471692,0.13749595600129408,0.0042057586541572305,0.3333333333333333,2.424313725490196,0.0024709342335650373,1.2937560659980587
"frozenset(['sletias', 'iron'])",frozenset(['tapseils']),0.016823034616628922,0.0459398252992559,0.0042057586541572305,0.25,5.441901408450705,0.003432911382865963,1.2720802329343255
"frozenset(['tapseils', 'iron'])",frozenset(['sletias']),0.009705596894208994,0.05596894208993853,0.0042057586541572305,0.43333333333333335,7.742389210019268,0.00366254666363696,1.6659371610177556
frozenset(['sletias']),"frozenset(['tapseils', 'iron'])",0.05596894208993853,0.009705596894208994,0.0042057586541572305,0.07514450867052024,7.742389210019269,0.00366254666363696,1.0707558233581365
frozenset(['tapseils']),"frozenset(['sletias', 'iron'])",0.0459398252992559,0.016823034616628922,0.0042057586541572305,0.09154929577464789,5.441901408450705,0.003432911382865963,1.0822568146080518
frozenset(['iron']),"frozenset(['sletias', 'tapseils'])",0.13749595600129408,0.012617275962471692,0.0042057586541572305,0.030588235294117645,2.424313725490196,0.0024709342335650373,1.0185380041649261
frozenset(['bouges']),frozenset(['iron']),0.013587835651892591,0.13749595600129408,0.006470397929472662,0.47619047619047616,3.4633053221288512,0.004602125476527223,1.646598629452075
frozenset(['iron']),frozenset(['bouges']),0.13749595600129408,0.013587835651892591,0.006470397929472662,0.047058823529411764,3.4633053221288517,0.004602125476527223,1.035123876167767
frozenset(['niconees']),frozenset(['knives']),0.05402782271109673,0.041734066645098676,0.005499838240051763,0.10179640718562874,2.439168175277352,0.003245037486337276,1.0668694058017902
frozenset(['knives']),frozenset(['niconees']),0.041734066645098676,0.05402782271109673,0.005499838240051763,0.1317829457364341,2.4391681752773517,0.003245037486337276,1.0895572399131117
frozenset(['allejars']),frozenset(['niconees']),0.01973471368489162,0.05402782271109673,0.00517631834357813,0.26229508196721313,4.854814960243448,0.004110094731356552,1.2823178403249578
frozenset(['niconees']),frozenset(['allejars']),0.05402782271109673,0.01973471368489162,0.00517631834357813,0.09580838323353294,4.854814960243448,0.004110094731356552,1.0841344557259807
frozenset(['sletias']),frozenset(['tapseils']),0.05596894208993853,0.0459398252992559,0.012617275962471692,0.2254335260115607,4.907148090857283,0.010046072540675745,1.2317344046509608
frozenset(['tapseils']),frozenset(['sletias']),0.0459398252992559,0.05596894208993853,0.012617275962471692,0.2746478873239437,4.907148090857283,0.010046072540675745,1.3014797109051335
frozenset(['sletias']),frozenset(['plains']),0.05596894208993853,0.03979294726625687,0.0071174377224199285,0.12716763005780346,3.195732882184313,0.00489026856128682,1.1001047690260768
frozenset(['plains']),frozenset(['sletias']),0.03979294726625687,0.05596894208993853,0.0071174377224199285,0.17886178861788618,3.195732882184313,0.00489026856128682,1.1496615853756194
frozenset(['niconees']),frozenset(['rum']),0.05402782271109673,0.06567453898414753,0.006470397929472662,0.11976047904191615,1.82354502817026,0.0029221455806041283,1.0614445713581453
frozenset(['rum']),frozenset(['niconees']),0.06567453898414753,0.05402782271109673,0.006470397929472662,0.0985221674876847,1.82354502817026,0.0029221455806041283,1.0493571146975265
frozenset(['pautkaes']),frozenset(['iron']),0.024263992235522485,0.13749595600129408,0.0061468780329990294,0.25333333333333335,1.8424784313725493,0.002810677224167889,1.1551393446411242
frozenset(['iron']),frozenset(['pautkaes']),0.13749595600129408,0.024263992235522485,0.0061468780329990294,0.04470588235294118,1.842478431372549,0.002810677224167889,1.0213985302953275
frozenset(['spirits']),frozenset(['iron']),0.016175994823681657,0.13749595600129408,0.0042057586541572305,0.26,1.890964705882353,0.001981624781603137,1.1655460054036566
frozenset(['iron']),frozenset(['spirits']),0.13749595600129408,0.016175994823681657,0.0042057586541572305,0.030588235294117645,1.8909647058823529,0.001981624781603137,1.0148669956309109
frozenset(['arms']),frozenset(['times']),0.03202846975088968,0.045292785506308636,0.004529278550630864,0.1414141414141414,3.1222222222222222,0.0030786199401085235,1.1119531086455934
